name,year,duration,genre,rating,votes,director,actor_1,actor_2,actor_3
deewane,2000,164,Romance,4.7,587,Harry Baweja,Ajay Devgn,Urmila Matondkar,Mahima Chaudhry
deewane huye paagal,2005,158,Action,5.3,4622,Vikram Bhatt,Shahid Kapoor,Akshay Kumar,Sunil Shetty
deewane huye paagal,2005,158,Comedy,5.3,4622,Vikram Bhatt,Shahid Kapoor,Akshay Kumar,Sunil Shetty
deewane huye paagal,2005,158,Drama,5.3,4622,Vikram Bhatt,Shahid Kapoor,Akshay Kumar,Sunil Shetty
deewangee,2002,169,Crime,6.6,2620,Anees Bazmee,Ajay Devgn,Akshaye Khanna,Urmila Matondkar
deewangee,2002,169,Drama,6.6,2620,Anees Bazmee,Ajay Devgn,Akshaye Khanna,Urmila Matondkar
deewangee,2002,169,Mystery,6.6,2620,Anees Bazmee,Ajay Devgn,Akshaye Khanna,Urmila Matondkar
deha,2007,126,Romance,6.4,66,Mahesh Manjrekar,Mahesh Manjrekar,Jaya Prada,Supriya Karnik
dekh bhai dekh laughter behind darkness,2009,105,Comedy,4.5,26,Rahat Kazmi,Gracy Singh,Siddharth Koirala,Raghuvir Yadav
dekh bhai dekh laughter behind darkness,2009,105,Crime,4.5,26,Rahat Kazmi,Gracy Singh,Siddharth Koirala,Raghuvir Yadav
dekh bhai dekh laughter behind darkness,2009,105,Drama,4.5,26,Rahat Kazmi,Gracy Singh,Siddharth Koirala,Raghuvir Yadav
dekh kabira roya,1957,141,Comedy,7.4,29,Amiya Chakrabarty,Anita Guha,Anoop Kumar,Jawahar Kaul
dekh kabira roya,1957,141,Romance,7.4,29,Amiya Chakrabarty,Anita Guha,Anoop Kumar,Jawahar Kaul
dekh tamasha dekh,2014,110,Comedy,6.1,284,Feroz Abbas Khan,Satish Kaushik,Tanvi Azmi,Vinay Jain
dekha pyar tumhara,1985,138,Comedy,5.6,38,Virendra Sharma,Kamal Haasan,Rati Agnihotri,Deven Verma
dekha pyar tumhara,1985,138,Drama,5.6,38,Virendra Sharma,Kamal Haasan,Rati Agnihotri,Deven Verma
delhi 47 km,2018,98,Drama,5.9,24,Shadab Khan,Shadab Khan,Shadab Khan,Shadab Khan
delhi belly,2011,103,Action,7.6,28299,Abhinay Deo,Akshat Verma,Imran Khan,Vir Das
delhi belly,2011,103,Comedy,7.6,28299,Abhinay Deo,Akshat Verma,Imran Khan,Vir Das
delhi belly,2011,103,Crime,7.6,28299,Abhinay Deo,Akshat Verma,Imran Khan,Vir Das
delhi in a day,2011,88,Comedy,6.2,395,Prashant Nair,Victor Banerjee,Siddharth Bhardwaj,Vidya Bhushan
delhi in a day,2011,88,Drama,6.2,395,Prashant Nair,Victor Banerjee,Siddharth Bhardwaj,Vidya Bhushan
delhi safari,2012,96,Animation,5.6,1631,Nikkhil Advani,Govinda,Akshaye Khanna,Urmila Matondkar
delhi safari,2012,96,Adventure,5.6,1631,Nikkhil Advani,Govinda,Akshaye Khanna,Urmila Matondkar
delhi safari,2012,96,Comedy,5.6,1631,Nikkhil Advani,Govinda,Akshaye Khanna,Urmila Matondkar
delhi-6,2009,141,Drama,6.1,7256,Rakeysh Omprakash Mehra,Waheeda Rehman,Abhishek Bachchan,Sonam Kapoor
delinquent dancers,2012,94,Music,5.9,48,Samit Kakkad,Akhilesh,Sulabha Arya,Raqesh Bapat
department,2012,141,Action,3.1,965,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu
department,2012,141,Crime,3.1,965,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu
department,2012,141,Thriller,3.1,965,Ram Gopal Varma,Sanjay Dutt,Rana Daggubati,Lakshmi Manchu
desamuduru,2007,148,Action,6.2,1608,Puri Jagannadh,Allu Arjun,Hansika Motwani,Pradeep Singh Rawat
desamuduru,2007,148,Drama,6.2,1608,Puri Jagannadh,Allu Arjun,Hansika Motwani,Pradeep Singh Rawat
desamuduru,2007,148,Romance,6.2,1608,Puri Jagannadh,Allu Arjun,Hansika Motwani,Pradeep Singh Rawat
desh,2002,130,Drama,4.9,50,Raja Sen,Jaya Bachchan,Sabyasachi Chakrabarty,Subhendu Chatterjee
desh drohee,1980,158,Action,5.5,11,Prakash Mehra,Saira Banu,Navin Nischol,Rakesh Pandey
desh drohi,2008,140,Action,1.4,3899,Jagdish A. Sharma,Kamal Rashid Khan,Gracy Singh,Hrishitaa Bhatt
desh drohi,2008,140,Thriller,1.4,3899,Jagdish A. Sharma,Kamal Rashid Khan,Gracy Singh,Hrishitaa Bhatt
desh premee,1982,165,Action,6,536,Manmohan Desai,Amitabh Bachchan,Hema Malini,Navin Nischol
desh premee,1982,165,Comedy,6,536,Manmohan Desai,Amitabh Bachchan,Hema Malini,Navin Nischol
desh premee,1982,165,Drama,6,536,Manmohan Desai,Amitabh Bachchan,Hema Malini,Navin Nischol
deshwasi,1991,145,Action,3.6,12,Rajiv Goswami,Tom Alter,Mahesh Bhatt,Poonam Dhillon
deshwasi,1991,145,Crime,3.6,12,Rajiv Goswami,Tom Alter,Mahesh Bhatt,Poonam Dhillon
